fold,r2,mae,rmse,trial_number
1,0.9726265834421338,994.1024558857589,1309.4596951081728,0
2,0.972993311768407,1041.93334184296,1358.8387410531595,0
3,0.9716069494661015,1095.1325903893287,1448.9735368296222,0
4,0.9762966974203403,1054.089939232704,1385.1914258093566,0
5,0.9726082603870604,1089.6454156398208,1484.8444370910736,0
1,0.9646906996639216,1149.588513157093,1487.2096277723028,1
2,0.9633944587121042,1227.320855261953,1581.9970576422866,1
3,0.9629255716928656,1259.2914487134278,1655.7381579138303,1
4,0.9644496924540733,1257.3075477845377,1696.3952412734104,1
5,0.9607379104664986,1328.7454112259272,1777.697466547764,1
1,0.9826554119775677,713.4846672895076,1042.3405338222278,2
2,0.9858852301346166,683.8914254308828,982.3565735398687,2
3,0.9885108554930819,656.7375077503082,921.7184314758015,2
4,0.9908712835730688,639.1066915130183,859.6273461149518,2
5,0.988400608993889,683.5682412575877,966.2483006866757,2
1,0.9532555982664243,1356.1580949220797,1711.1671533620297,3
2,0.9566431424664047,1329.025041181997,1721.7145653724103,3
3,0.9533261952170866,1435.6509118306897,1857.7660791584897,3
4,0.9564125551291977,1403.2422023036188,1878.3913081535463,3
5,0.9527935936117717,1462.5186602186586,1949.2682964952546,3
1,0.9339573388071182,1404.4724629303491,2033.948323981147,4
2,0.9476531857247359,1349.3752506414091,1891.8094175617844,4
3,0.9495523536698985,1371.8811434628624,1931.4118005128023,4
4,0.9538546842569451,1430.3268803596336,1932.721043970482,4
5,0.9497080363113669,1463.7550854283345,2011.9651117024264,4
1,0.943201563780025,1523.947172097966,1886.2350980083222,5
2,0.9494491073590047,1526.2092376795965,1859.0739664750774,5
3,0.9447882739886133,1522.6111713869807,2020.5522628369092,5
4,0.9475991310866583,1520.264825569079,2059.560759514042,5
5,0.943117850745938,1535.4114641763867,2139.7308474195756,5
1,0.9763141865569003,910.3076461465017,1218.0687025667746,6
2,0.9788292894626782,901.786783717035,1203.095138590926,6
3,0.9787086850651205,948.6910276933902,1254.745561603685,6
4,0.9813772537421585,920.8764632149848,1227.7988643985861,6
5,0.9775966090029025,980.236642521938,1342.8516223824274,6
1,0.9566728412192829,1303.8305943559228,1647.4329107540002,7
2,0.9610202706316434,1293.0309540460783,1632.494266279724,7
3,0.9539468201397725,1443.23311314615,1845.3733201818955,7
4,0.95888088346291,1400.616703313015,1824.430197504928,7
5,0.950767712596057,1490.908633408469,1990.6557195527373,7
1,0.9811523509422113,759.6898392385615,1086.56628598703,8
2,0.9842955214814177,737.5033502601274,1036.2010183140158,8
3,0.987242158811256,712.6090772056697,971.2768150695905,8
4,0.9893826743203123,699.8513689925084,927.070867802837,8
5,0.9864349828168194,755.7740804033006,1044.91586481703,8
1,0.9852719050979479,562.4235984640054,960.5078514372873,9
2,0.9890858225710886,522.8407754537094,863.8289598904771,9
3,0.9925002984821271,481.17435089961623,744.6915325038797,9
4,0.9938536981568415,474.46781227811766,705.36240196423,9
5,0.9930112568423667,501.378543762678,750.0162775937059,9
1,0.9240630497722462,1584.9562976066227,2180.992679207128,10
2,0.9385420109587495,1491.301804903946,2049.8469103898133,10
3,0.9337228275576277,1646.487819716323,2213.7899531655635,10
4,0.9437321171587759,1661.9921243341619,2134.202634553648,10
5,0.9385274642048587,1670.1095674830804,2224.3939910230574,10
1,0.9847490810434962,588.6854834724563,977.4074363058634,11
2,0.9886621615581443,549.5485015362477,880.4351787725014,11
3,0.9920900363829769,489.5004265684529,764.789063880549,11
4,0.9934965751918763,497.3005554072195,725.5651689939916,11
5,0.992495180242641,521.1368817065734,777.2151938845409,11
1,0.9850772192544518,592.5038104231392,966.8353285986306,12
2,0.9883863701674803,559.0322584016888,891.0790733337344,12
3,0.9917046865687604,517.86448827829,783.1966590867198,12
4,0.9932492451389097,515.9230357768121,739.2333189959965,12
5,0.9918756736888628,549.3695829571227,808.6578897521463,12
1,0.9774731169064768,880.1410705156601,1187.8953571041327,13
2,0.9802066405087551,872.1988481771423,1163.300757991278,13
3,0.9804923602039547,921.2363759720394,1201.0381152854993,13
4,0.9842509422757881,857.621295612024,1129.1006354533595,13
5,0.9808448084628234,902.2177478241168,1241.6934735115713,13
1,0.9791927176408949,833.9966764951014,1141.6561292644806,14
2,0.9806984064610985,841.431357214891,1148.7587641608113,14
3,0.9825620791446666,862.2331009644963,1135.5382748027557,14
4,0.9857442477629885,826.6351638211332,1074.2378090644984,14
5,0.9832419934206164,848.1399345901456,1161.4013519453258,14
1,0.9719090979224413,1029.3485676685405,1326.5098378352038,15
2,0.9710339344068827,1115.4948055363752,1407.2686396952527,15
3,0.9691090459830842,1152.4588188365033,1511.3675264758078,15
4,0.9740173364872686,1075.2624804039601,1450.2644420042968,15
5,0.9705503205328955,1157.959898804642,1539.6125235055283,15
1,0.9670032383618402,1122.0954335277306,1437.6835118718684,16
2,0.9698172468813948,1121.1171036202113,1436.5200121802682,16
3,0.9654768168711473,1221.0604547450357,1597.753737566583,16
4,0.9715229725790739,1170.054582390058,1518.2828665157513,16
5,0.9686883070477436,1144.7791994400839,1587.5390753660981,16
1,0.9862475071738174,461.38629499615973,928.1503778767365,17
2,0.990783992771769,419.77988038470005,793.7864079462564,17
3,0.9942110190899106,378.6145461848573,654.2677065779548,17
4,0.9950454499330775,377.01723260444993,633.297064750493,17
5,0.9952413413219687,377.2154629800704,618.889944787142,17
1,0.9285733320623245,1392.4474266176217,2115.2311214443835,18
2,0.9465658085095374,1297.1612368987799,1911.3572845944902,18
3,0.9493622605680984,1279.176666865637,1935.0472807753567,18
4,0.9527686707668352,1371.0781246983008,1955.331733013477,18
5,0.9471321240281797,1464.8613750388008,2062.8472961570014,18
1,0.9438582731770546,1201.8145100263714,1875.2989722543816,19
2,0.9579788711681176,1124.1134424706227,1694.985987649724,19
3,0.9614735417847784,1088.8990226984715,1687.8504699101013,19
4,0.9601743474036891,1249.7682868135291,1795.5058106480626,19
5,0.9587211042123102,1240.5179591851952,1822.7839028416001,19
1,0.9735068135535496,977.4044426055771,1288.2339199871249,20
2,0.9768567553160268,927.7505464961102,1257.8949637256442,20
3,0.977271236734226,1010.1407165108242,1296.4098698889904,20
4,0.9800312884948063,946.9735616749754,1271.3946679734831,20
5,0.9762388003124752,1030.492914354049,1382.946345475688,20
1,0.984299750370943,656.8850658641454,991.701365185984,21
2,0.9871302261239037,636.9054421729514,938.0321271427212,21
3,0.9900286014446903,608.9375538955304,858.682206898115,21
4,0.992162533939793,586.4130617016897,796.513610043568,21
5,0.9898844272059423,633.3738415885235,902.3320612734772,21
1,0.9844683648608659,587.719634297093,986.3617493422665,22
2,0.9889980366251214,535.0759558028394,867.2960176783209,22
3,0.9923723484644001,466.9340820072295,751.017139281232,22
4,0.9935009137749071,494.2849608396602,725.3231080790802,22
5,0.9919432245432169,540.7843517342382,805.2890224962053,22
1,0.9752225112193867,940.7883228702917,1245.8228047591645,23
2,0.978314272702043,909.6149172640318,1217.6409658242585,23
3,0.9777507996157336,967.1059411772749,1282.6602318171692,23
4,0.9825274467723297,908.1410090302666,1189.2784529239905,23
5,0.9782882425198987,970.5544703501567,1321.9609867388433,23
1,0.9807972643771111,783.5842799461078,1096.7538905019883,24
2,0.983762410755858,759.2240301605319,1053.6418940231326,24
3,0.9867927048825572,721.6000994371864,988.2375854198613,24
4,0.9883930533204769,735.001766786807,969.3137181519999,24
5,0.9853258387994471,798.9876520821165,1086.795400554518,24
